Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,pensais,thought
5,genre,kind
6,mois,month
7,frère,brother
8,laisser,let
9,car,because
12,eux,them
13,ville,city
14,chaque,each
15,parlé,speak
16,arrivé,come
17,bébé,baby
19,heures,hours
20,vont,will
21,pendant,while
22,revoir,meet again
23,place,square
24,parle,speak
25,savais,knew
26,étaient,were
27,attention,Warning
28,affaire,case
29,donner,give
30,type,type
32,corps,body
33,endroit,place
34,yeux,eyes
35,écoute,listen
36,dont,whose
37,trouve,find
38,premier,first
41,matin,morning
42,enfant,child
43,point,point
45,suite,after
49,demandé,request
50,chambre,bedroom
52,belle,beautiful
53,droit,law
54,aimerais,would like to
55,aujourd'hui,today
56,mari,husband
58,enfin,finally
59,espère,hope
60,attendez,Wait
61,parti,left
62,nouvelle,new
63,boulot,job
64,arrêter,Stop
65,dirait,would say
69,chérie,sweetheart
70,gros,large
72,filles,girls
